sub_ux_id,user_id,ux_start_date,ux_end_date,sub_type,download_id,date,datetime,user_id,session_id,resource_id,career_id,country_id
21348670,4766896,2023-06-21,2023-07-20,2,1571125411,2023-07-21,2023-07-21 00:22:49,4766896,9q67smeseq0pk5bmoj17ktb9ao-0,6610198,247,12
21443214,13140671,2023-06-21,2023-07-20,2,1571136711,2023-07-21,2023-07-21 00:56:24,13140671,mc84j34o5htgq53400rgipvgrh-0,4116180,125,12
21443214,13140671,2023-06-21,2023-07-20,2,1571136765,2023-07-21,2023-07-21 00:56:35,13140671,mc84j34o5htgq53400rgipvgrh-0,542153,125,12
21443270,9203597,2023-06-21,2023-07-20,2,1571122133,2023-07-21,2023-07-21 00:13:16,9203597,4fidq628mem083gde77vltv097-0,5265425,40,12
21443610,2678491,2023-06-21,2023-07-20,2,1571124504,2023-07-21,2023-07-21 00:20:17,2678491,pnkedvm69e7dajvro2mfa8vnv1-0,151451,40,12
21443610,2678491,2023-06-21,2023-07-20,2,1571124834,2023-07-21,2023-07-21 00:21:13,2678491,pnkedvm69e7dajvro2mfa8vnv1-0,1612888,40,12
21443731,12894804,2023-06-21,2023-07-20,2,1571119858,2023-07-21,2023-07-21 00:06:09,12894804,55kt62rgpbukcoj46r2k6l2gk9-0,1660366,42,12
21443731,12894804,2023-06-21,2023-07-20,2,1571120104,2023-07-21,2023-07-21 00:06:56,12894804,55kt62rgpbukcoj46r2k6l2gk9-0,4309817,42,12
21443731,12894804,2023-06-21,2023-07-20,2,1571120723,2023-07-21,2023-07-21 00:08:53,12894804,55kt62rgpbukcoj46r2k6l2gk9-0,103737,42,12
21443731,12894804,2023-06-21,2023-07-20,2,1571121502,2023-07-21,2023-07-21 00:11:18,12894804,55kt62rgpbukcoj46r2k6l2gk9-0,1638466,42,12
21443831,1014211,2023-06-21,2023-07-20,2,1571123814,2023-07-21,2023-07-21 00:18:23,1014211,ckvks25i9tn08c52827lefevji-0,1699244,40,12
21443919,1098672,2023-06-21,2023-07-20,2,1571129507,2023-07-21,2023-07-21 00:34:25,1098672,6lqqrcqaojrvnoprolle2tqodj-0,824,40,12
21443919,1098672,2023-06-21,2023-07-20,2,1571129577,2023-07-21,2023-07-21 00:34:38,1098672,6lqqrcqaojrvnoprolle2tqodj-0,2502561,40,12
21444109,8561401,2023-06-21,2023-07-20,2,1571122180,2023-07-21,2023-07-21 00:13:25,8561401,dgnjdl55od2mia5k9ufr7k7cl2-0,6688297,40,12
21444109,8561401,2023-06-21,2023-07-20,2,1571122885,2023-07-21,2023-07-21 00:15:31,8561401,dgnjdl55od2mia5k9ufr7k7cl2-0,6650140,40,12
21444109,8561401,2023-06-21,2023-07-20,2,1571124215,2023-07-21,2023-07-21 00:19:28,8561401,dgnjdl55od2mia5k9ufr7k7cl2-0,4913849,40,12
21444109,8561401,2023-06-21,2023-07-20,2,1571125111,2023-07-21,2023-07-21 00:21:57,8561401,dgnjdl55od2mia5k9ufr7k7cl2-0,4271978,40,12
